Country,PWT Code,WDI Code,pop75,pop09,gpop,k1975,k2009,kpw1975,kpw2009,hc1975,hc2009,rgdpwk1975,rgdpwk2009,rgdpch1950,rgdpch1955,rgdpch1960,rgdpch1965,rgdpch1970,rgdpch1975,rgdpch1980,rgdpch1985,rgdpch1990,rgdpch1995,rgdpch2000,rgdpch2005,rgdpch2006,rgdpch2007,rgdpch2008,rgdpch2009,gy7509,prodgrowth,ki1975,ki2009,meanki,natsav09,grodomsav75,grodomsav09,govsp75,govsp09,privcap75,privcap09,fdi75,fdi09,imports75,imports09,trade75,trade09,openfrac,tradetax09,martax09,migration10,labfor75,labfor09,labpop75,labpop09,indgdp75,indgdp09,agrigdp75,agrigdp09,aggdpperagworker09,percemployagr10,natcap00,mindep09,endep09,fordep09,co2emm07,tfr75,tfr09,infmor09,malaria94,malariaecology,calories07,lifeex75,lifeex09,agedep75,agedep09,avgsch75,avgsch2010,secsch09,collegeadultpop2010,compcollegeadultpop2010,avgyrsfemaleed,testscores09,intuser09,tele09,cells09,comp05,gini75,gini09,topincsh09,botincsh09,laborshare,ethnicfractionalization,rulelaw2009,corrcon09,polrights10,instability,soccapability,thrift,obedience,perseverance,faith,techvstrad,trust,work,wellbeing,africa,asia,westerneurope,latitude,area,popden60,# missing values,,Growth rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,BHS,BHS,189139,308000,1.43,,32641163247,,194069.41,,,31319.68119,46869.92046,,,,,19069.96,12883.03,19742.23,21780.79,22054.83,20888.72,24159.45,27464.81,28601.24,29122.70,29349.55,28396.37,2.32,,10.07,39.61,24.73,25.06,,,,,,,,,,,,,,43.39, 0   ,2000,77800.39,186603,41.13,60.59,,,,,,2.31,,,,,6.44,3.31,2.00,8.5,,0.07,2701,66.78,73.86,81.8,47.7,,,,,,,,33.88,37.74,105.00,,54.09,,,,,,0.80,1.38,1,-0.88,,,,,,,,,,,,,24.25,,,54,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,BHR,258789,1144000,4.37,,93310165254,,173609.56,1.85,2.87,72157.46453,72446.6551,,,,,22315.91,23828.06,30216.52,18668.34,18651.21,19508.87,20968.02,22389.60,23238.94,24410.60,25000.16,23548.20,-0.03,,19.20,43.42,35.90,54.08,,,,,,50.13,,1.25,,,,,,, 0   ,20000,85458.1,371848,33.02,32.50,,,,,,0.62,961,,,0.00,29.55,5.56,2.23,9.5,,,,64.65,76.08,82.7,40.1,2.7,9.4,96.4,11.7,4.5,9.1,,82.04,30.12,199.38,169.04,,,,,,0.50,0.51,0.30,6,0.09,,,,,,,,,,,,,26.00,,,44,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,BGD,76200000,154000000,2.07,7.75E+10,5.03E+11,2523.45,6736.96,1.38,2.23,,2736.689637,,,802.07,780.81,794.35,679.70,715.35,757.31,808.94,873.62,987.41,1191.93,1242.34,1290.24,1355.46,1397.12,2.12,,8.88,28.82,19.44,19.38,0.94,17.25,3.16,5.26,,0.71,0.01,0.75,8.10,26.55,11.00,45.98,0.11,24.35,,-570000,3.07E+07,78619079,,51.05,,28.66,,18.73,206.7,45.38,1388,0,2.09,0.56,0.28,6.80,2.29,41.2,35.72,6.61,2250,45.27,66.56,92.4,54.7,1.2,4.8,,4.4,2.8,4.3,,0.38,0.94,31.07,11.85,36.00,31.02,40.77,9.36,,0.05,-0.72,-0.96,3,1.55,,54.40,19.10,44.70,74.00,92.10,22.20,4.3,65.3,,1,,23.81,135887,3.8398,13,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,BRB,BRB,247147,284700,0.42,1.14E+10,24354903020,110673.64,144246.34,2.53,2.84,38200.5693,42996.47693,,,7647.78,9273.62,14266.78,15907.21,20916.53,19960.33,21871.19,20808.54,23376.45,23370.84,24407.38,24545.82,24513.65,22917.24,1.07,-0.13,27.29,29.89,26.08,27.89,9.19,18.44,16.59,,5.54,9.60,5.70,8.30,60.41,64.59,110.80,125.21,0.97,,,-1250,102915.2,151746,41.64,53.30,18.57,,13.33,,,2.72,,,,,5.28,2.43,1.54,9.8,,,3055,70.34,77.24,70.4,38.0,7.1,9.3,,2.2,1.4,9.5,,,53.03,131.73,148.39,48.86,,,,,,0.97,1.34,1,-1.09,,,,,,,,,,,,,13.17,,5.3721,31,,1.139038374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,BLR,9360184,9769913,0.13,,2.17E+11,,43197.44,,,,25184.91963,,,,,,,,,,4333.93,6251.94,9406.60,10065.42,11178.14,12314.15,12786.74,,,,27.00,,30.25,,26.93,,16.70,,3.67,,3.84,,62.12,,112.86,,16.45,,0,,4960323,,50.77,,42.48,,9.59,2632.1,8.89,,0,0.91,0.00,6.88,2.17,1.50,10.9,0.00,0.00,3086,70.11,70.41,55.1,39.5,,,,,,,,45.92,41.08,100.24,,,27.22,36.35,9.17,,0.32,-0.94,-0.78,7,-0.37,,51.10,34.60,44.00,14.10,33.10,29.60,3.2,50.0,,,,53.55,,,42,,2.265012981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,BEL,9794800,10400000,0.18,4.75E+11,1.18E+12,121193.98,254798.26,2.66,3.02,46453.04761,74980.79771,7982.72,9209.44,10240.59,12811.19,15896.94,18603.59,21792.18,22226.85,26233.64,27689.11,31495.45,33724.13,34621.98,35583.94,36111.58,34624.98,1.83,0.43,24.06,26.24,24.00,24.49,25.32,22.91,21.12,24.67,,17.00,1.47,-8.25,49.86,70.22,99.84,143.19,1.00,, 50   ,200000,3922637,4802560,40.05,46.18,38.48,21.71,3.29,0.67,16797.4,1.25,6950,0,0.00,0.00,9.69,1.74,1.85,3.8,0.00,0.00,3690,71.94,80.63,56.8,51.7,7.5,10.6,,25.9,20.4,10.5,511.0,75.20,39.44,115.11,348.04,28.25,32.9658,41.38,8.50,0.74,0.56,1.37,1.43,1,-0.79,,43.30,42.80,43.80,13.70,61.40,30.70,,77.8,,,1,50.66,31318,,5,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,BLZ,135611,308000,2.41,,6954199534,,54332.61,2.30,2.65,14948.53362,18819.02984,,,,,4298.42,4556.96,5530.74,4507.50,6229.21,7562.02,7736.97,9026.64,9530.85,9253.16,9285.31,8460.33,1.82,,34.80,27.96,26.13,17.51,,,,,,6.30,,7.05,,,,,,,,-1000,41340.12,138465,30.48,44.96,,,,,1894.0,23.96,1333,,,,1.36,6.28,2.84,15.7,100.00,0.78,2719,68.69,76.59,106.7,64.6,6.9,9.2,75.6,8.5,5.4,9.1,,10.80,9.35,48.55,131.98,,,,,,0.70,-0.38,-0.06,1,-0.08,,,,,,,,,,,,,17.22,22127,,42,,2.517317969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,BEN,2995605,8792000,3.17,7.14E+09,23598519747,5739.66,6483.34,1.19,1.76,2242.886701,2651.845968,,,801.33,800.49,887.72,931.14,962.01,1122.50,1071.17,1093.97,1150.82,1190.41,1228.67,1254.36,1085.88,1115.71,0.53,-0.39,33.13,22.96,22.28,13.78,0.42,10.66,9.25,,0.28,,0.28,1.39,33.41,28.17,47.94,42.02,0.29,18.38, 35   ,50000,1243627,3699064,41.52,42.07,16.16,,30.54,,,44.32,,0,0.00,1.18,0.46,6.84,5.38,74.8,100.00,17.58,2512,48.18,61.81,93.2,86.2,0.6,3.3,,2.9,1.9,2.0,,2.24,1.42,56.33,3.79,,38.62,45.90,6.91,,0.79,-0.69,-0.65,2,-0.44,,,,,,,,,,1,,,9.62,116046,0.2022,21,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,BMU,53829,67800,0.68,,5953786210,,,,,,,,,,,25683.04,26889.09,32682.63,33166.40,34485.13,35043.81,35125.20,46567.13,48756.42,50492.64,50457.25,52089.88,1.94,,8.69,16.26,13.86,5.51,,,,,,,,,,,,,,, 0   ,,,,,,,7.50,,0.83,,,4945,,,,8.02,,1.76,,,,,,79.15,,,,,,,,,,83.85,89.60,131.99,543.37,,,,,,,0.91,1.36,,-0.72,,,,,,,,,,,,,32.33,,,69,,0.677740623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,BTN,372749,691000,1.82,,12289950919,,40839.27,,,2117.282527,10392.67536,,,,,838.02,744.63,885.73,1030.70,1645.94,2202.57,2787.36,3564.22,3804.40,4076.73,4174.01,4567.57,5.33,,37.28,37.26,44.96,33.22,,63.58,,22.05,,,,2.85,,48.33,,106.32,,0.99,,10000,131093.4,303694,35.17,43.95,,45.01,,17.57,220.6,92.94,4783,0,0.00,5.33,0.86,6.69,2.56,52.4,92.03,0.62,,43.25,66.51,78.8,54.7,,,61.7,,,,,7.17,3.78,46.90,20.42,,46.74,53.01,5.36,,,0.16,0.84,4,-0.69,,,,,,,,,,,1,,27.40,38304,,39,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,BOL,4914316,9775000,2.02,2.76E+10,50135430082,14264.90,11189.43,1.91,2.80,8314.23827,8202.13321,3232.71,2978.12,2713.58,3066.13,2776.96,3268.66,3331.23,2776.14,2800.57,3050.01,3223.50,3428.27,3534.88,3619.29,3743.90,3793.44,0.44,-0.55,18.36,13.19,12.56,19.00,16.74,19.79,10.48,14.71,,1.54,2.56,2.44,32.22,32.90,58.15,68.63,0.86,,,-100000,1932015,4520880,39.31,46.25,32.73,36.24,21.79,13.83,358.6,39.94,,1.517368838,9.66,0.00,1.38,6.18,3.37,39.7,4.54,1.23,2093,48.23,66.01,86.9,69.4,3.7,9.2,,17.5,9.5,8.4,,11.18,8.21,72.48,23.31,,57.26,60.99,2.78,0.67,0.74,-1.22,-0.71,3,0.82,-0.35,,,,,,,,,,,,-16.73,1090806,0.0316,15,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,BIH,3980000,4613000,0.43,,62824296221,,26313.03,,,,16837.83056,,,,,,,,,1742.33,2242.33,5883.09,4981.68,5359.17,6249.94,6846.62,7115.79,,,,19.04,,-0.23,,-2.44,,22.88,,1.28,,1.38,,57.98,,91.42,,0.01,,-10000,,1949487,,42.26,,28.13,,8.01,7058.9,2.37,3183,0.925695345,0.70,,7.68,2.41,1.21,12.5,0.00,0.00,3084,68.63,75.25,57.1,41.3,,,91.2,,,,,37.74,26.51,86.48,,,36.21,43.18,6.65,,,-0.39,-0.31,4,0.57,,39.20,42.20,44.30,22.50,,21.90,3.8,64.8,,,,,51385,,42,,0.686023938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,BWA,704591,1991000,3.06,4.24E+09,77081819351,15237.17,75760.63,1.50,2.72,5332.299366,17727.47469,,,578.04,628.08,1125.79,2105.91,2987.49,3778.30,5803.38,5583.70,8579.87,9309.37,9663.93,9757.91,10934.77,8871.53,4.23,0.79,52.50,45.91,38.86,29.32,21.70,13.03,18.98,24.20,-10.78,4.80,-10.78,2.13,63.79,44.60,107.39,78.19,0.60,, 25   ,15000,278266.9,996375,39.49,50.04,33.64,39.62,29.88,3.10,214.5,42.16,6752,2.504664535,0.27,0.00,2.64,6.48,2.82,42.6,36.15,6.16,2235,57.54,54.95,100.2,58.9,2.1,8.9,,4.2,2.7,8.7,,6.15,7.40,96.12,45.22,,,,,0.45,0.41,0.64,0.86,3,-0.91,,,,,,,,,,1,,,-22.26,589403,0.0082,18,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,BRA,109000000,199000000,1.77,1.22E+12,3.91E+12,30911.39,37560.33,1.70,2.54,15867.43354,16006.61118,1777.01,2131.15,2581.05,3177.52,3998.80,5750.13,7223.38,6366.60,6398.99,6786.77,6975.96,7386.74,7586.40,7942.30,8155.36,8160.39,1.03,-0.96,31.10,19.59,22.61,15.82,22.87,16.45,10.64,21.81,0.96,5.41,1.05,1.63,11.51,11.18,19.04,22.30,0.26,2.18, 27.5   ,-229000,3.95E+07,101452980,36.24,50.98,40.17,25.42,12.10,6.08,2140.5,10.81,,1.531165204,1.58,0.00,1.94,4.50,1.83,17.3,6.66,2.19,3099,60.49,72.64,79.2,48.5,2.4,7.2,90.2,7.3,5.2,7.3,395.5,39.20,21.42,89.79,105.21,55.34,53.9,58.06,3.34,,0.54,-0.18,-0.07,2,-0.29,0.79,28.70,56.80,31.50,55.90,53.70,9.40,3.9,67.6,,,,-10.83,8420640,0.0858,2,,5.731637297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,BRN,BRN,156223,388000,2.68,,30320167778,,158191.93,2.09,2.56,211133.6164,90846.87333,,,,,59140.94,71688.69,99300.01,67308.12,54200.09,49386.85,49510.34,50021.04,51736.09,49092.64,45557.49,46228.93,-1.29,,2.62,14.34,9.55,51.12,,,17.29,,,,,,23.43,,113.49,,,,,3500,53044.24,197440,33.95,50.89,89.52,,1.34,,,0.25,3448,,,,19.75,4.90,2.05,5.4,0.00,2.89,2987,69.17,77.51,77.5,43.2,4.3,8.6,98.2,9.8,6.3,8.5,,79.78,20.15,106.66,84.77,,,,,,,0.79,0.96,6,-1.35,,,,,,,,,,,1,,4.48,6733,,41,,2.376985507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,BGR,8720742,7205000,-0.56,,1.93E+11,,56753.32,2.45,2.91,7589.497426,21969.75632,,,,,2737.61,3882.09,5154.45,6051.34,6560.01,6424.39,6418.58,9188.17,9825.03,10530.58,11199.43,10911.88,3.04,,28.66,21.75,21.46,13.50,,17.70,,16.25,,8.18,,9.43,,55.76,,103.59,0.26,0.52, 10   ,-50000,4460732,3578560,51.15,49.67,,30.31,,5.63,3857.8,3.99,1219,0.668005046,0.40,0.00,6.75,2.23,1.57,8.3,0.00,0.01,2761,71.05,73.41,49.1,44.6,7.5,9.9,,17.7,12.1,10.0,433.5,44.76,28.53,139.97,59.25,17.83,45.32,51.01,5.02,,0.40,-0.05,-0.12,2,-0.47,,42.70,25.00,56.90,18.50,63.30,22.20,3.5,49.8,,,,42.79,119439,,18,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,BFA,5673472,15700000,2.99,5.62E+09,25720962875,2112.57,3615.64,,,1351.371905,1984.579886,,,589.88,513.71,567.44,633.76,663.63,665.80,658.21,670.13,794.90,870.13,900.57,904.70,900.01,902.49,1.04,,14.47,21.64,20.00,4.26,0.30,,12.89,,-0.10,,0.03,2.11,30.15,,37.50,,0.06,11.63,,-65000,2660734,7139602,46.90,45.48,27.25,,30.32,,,92.05,1210,0,0.00,1.56,0.11,6.87,5.84,90.8,100.00,32.20,2669,43.26,53.31,91.1,93.5,,,19.8,,,,,1.13,1.06,20.94,2.37,,39.6,47.07,6.96,,0.74,-0.28,-0.44,5,0.12,,47.60,70.50,27.10,68.10,,14.70,,,1,,,12.27,276522,,26,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,BDI,3676308,9511000,2.80,1.27E+09,4756162150,692.29,908.73,1.24,1.65,687.3194901,766.0450555,,,258.73,264.39,351.45,343.24,368.22,412.93,447.55,352.50,395.31,368.52,373.70,370.83,369.55,368.03,0.21,-0.50,6.21,13.26,11.71,0.47,-3.15,,11.55,,,0.03,,0.03,19.00,,27.28,,0.03,,,323200,1835926,4569295,49.94,48.04,13.48,,65.67,,,89.24,,0.808530071,0.00,9.81,0.02,6.80,4.45,101.3,100.00,1.57,1680,44.79,50.87,95.8,70.0,0.9,2.7,21.2,0.9,0.6,2.2,,0.78,0.38,10.10,4.67,,33.27,42.75,8.96,0.75,0.30,-1.20,-1.12,4,1.42,,,,,,,,,,1,,,-3.51,28290,1.1493,25,,0.871595991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM,KHM,7491268,14200000,1.88,,37258263598,,4959.02,2.08,2.28,1581.371512,3201.218705,,,,,1095.00,735.93,561.74,569.47,735.86,854.83,1067.57,1560.00,1706.91,1800.71,1844.84,1765.97,2.57,,8.32,17.04,12.01,7.43,,18.29,,7.96,,4.82,,5.07,,62.66,,122.27,,16.10,,-5000,3486240,7833526,46.54,55.17,,22.64,,35.32,200.6,65.85,4733,0,0.00,0.19,0.31,4.93,2.86,68,100.00,8.34,2245,33.97,61.50,82.0,58.1,4.8,5.8,,0.9,0.5,5.4,,0.53,0.37,37.78,2.75,,44.37,51.68,6.57,,0.21,-1.05,-1.18,6,0.63,,,,,,,,,,,1,,12.69,182318,,30,,0.721683514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,CMR,7521530,18900000,2.71,2.02E+10,71985733559,7026.39,9622.24,1.50,2.18,4213.188931,4429.617553,,,1241.29,1327.20,1303.25,1607.97,1979.30,2511.59,1896.77,1540.46,1688.44,1793.11,1809.19,1826.25,1837.30,1811.05,0.35,-0.90,18.18,23.93,18.49,20.47,17.12,,10.89,,,-0.20,,1.53,25.54,30.90,48.23,57.48,0.20,, 60   ,-19000,2870607,7727247,38.17,40.88,18.24,,29.12,,,40.90,34771,0.097595056,4.72,0.00,0.33,6.37,4.54,94.6,100.00,14.72,2259,48.13,51.36,89.5,80.1,1.5,5.9,41.5,2.4,1.6,5.1,,3.84,1.66,37.89,9.98,,44.56,50.86,5.62,,0.86,-1.07,-0.92,6,0.41,-1.34,,,,,,,,,1,,,5.68,463006,0.1128,21,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
